Id,SalePrice
1461,120055.09419096912
1462,154819.8580940972
1463,179433.60849752626
1464,185096.90992270407
1465,189264.38362222377
1466,183102.51713338666
1467,166077.75209577408
1468,176452.63068415746
1469,176229.68754141594
1470,133085.26249891703
1471,173063.15503110495
1472,98008.1196851321
1473,93817.92732876455
1474,154166.42094517776
1475,110504.80004541962
1476,367722.9790690421
1477,266864.5120882762
1478,310753.3613665779
1479,324945.36760574224
1480,529787.4752301588
1481,310648.6226583695
1482,205868.773969921
1483,184340.31218914565
1484,165559.3089825627
1485,170714.66375377215
1486,197086.13453770432
1487,321683.30461904773
1488,207571.79456030077
1489,204713.4230811386
1490,210471.29820432074
1491,191333.38643612512
1492,108368.59196410594
1493,168965.23865009888
1494,306543.37493861694
1495,282826.69235209236
1496,228708.58204697992
1497,194043.16435276144
1498,159449.41322242093
1499,158831.11596568226
1500,163434.40404265406
1501,175324.94862267814
1502,148319.07516154385
1503,242416.86704029306
1504,237774.56475788675
1505,226375.0778224822
1506,208744.23534271866
1507,268551.18448373856
1508,233035.11184742345
1509,171953.6710955934
1510,154753.621405417
1511,152209.44030848116
1512,173189.39288600942
1513,143470.49145549838
1514,145522.62857878962
1515,182214.40923030564
1516,162337.0171221704
1517,149653.910131431
1518,141223.6154794224
1519,183984.6606549386
1520,142325.59493560312
1521,145034.59638469023
1522,162608.586779864
1523,126802.31711560699
1524,131137.04204755052
1525,126939.96845973437
1526,132614.15873126796
1527,122062.83812491052
1528,131201.21938585176
1529,144904.10523850936
1530,160801.77747282802
1531,143134.3560235138
1532,107012.49332422722
1533,144518.29393252367
1534,114012.05613885898
1535,162871.77283041994
1536,120810.78950178305
1537,78591.62267536433
1538,142725.44903319955
1539,174675.4456787657
1540,118903.22198985658
1541,138586.46770280198
1542,140090.1361940109
1543,171227.10582310092
1544,78893.87012961699
1545,101014.60834613942
1546,116096.84389401288
1547,138276.47351328068
1548,134561.79197813483
1549,91203.40355715653
1550,150311.7982519965
1551,113592.80385555462
1552,147733.61253359914
1553,151265.16356889321
1554,115416.22477017574
1555,202147.56126303528
1556,147860.56178237416
1557,135049.290196824
1558,95070.06228304443
1559,135768.00160461155
1560,142124.14795256822
1561,149844.27591869683
1562,127360.79763590326
1563,128303.68951138594
1564,160474.8412680419
1565,158580.1875110594
1566,210285.64726910225
1567,87446.07208098123
1568,235636.37037205178
1569,165425.66791866074
1570,122645.4117840967
1571,128501.77222133841
1572,135519.1514923252
1573,196699.44933384273
1574,125911.53861986047
1575,194855.74120267405
1576,246874.63515107264
1577,194804.43348563067
1578,162748.08363218463
1579,143835.7657361481
1580,188602.8457928919
1581,140411.68905627157
1582,132446.62766656958
